Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
64,262.0,0.0,2074.0,2074.0,24.0,2074.0,0.9990586000000309,0.0,0.0,0.0,,,,0.002758744255212757,0.005390141903478529,0.014809206128120422,0.00020000981749035415,0.0001,0.0,0.0001,0.0001,0.038080553999999996,0.008760059,0.0515698,0.027510517999999998,,,,
65,268.0,0.0,2098.0,2098.0,24.0,2098.0,0.9990370000000316,0.0,0.0,0.0,,,,0.002734848381805932,0.005772068720968032,0.01564143411815166,0.000105339138826821,0.0001,0.0,0.0001,0.0001,0.030635007000000002,0.019681703000000002,0.07426804,0.01767519,,,,
66,274.0,0.0,2122.0,2122.0,24.0,2122.0,0.9990154000000324,0.0,0.0,0.0,,,,0.002659886886855626,0.005676867782148803,0.015353504568338394,5.743377914768644e-05,0.0001,0.0,0.0001,0.0001,0.024027822999999997,0.02333461,0.075894766,0.009775861,,,,
67,300.0,0.0,2226.0,2226.0,104.0,2226.0,0.9989218000000356,2.0,2.0,0.0,,,,0.0036579083059153227,0.009791213868040832,0.04603686556220055,2.8581875085365034e-05,0.0001,1.3552527156068802e-20,0.0001,0.0001,0.026453136000000002,0.027774338,0.13416097,0.006807805500000001,,,,
68,306.0,0.0,2250.0,2250.0,24.0,2250.0,0.9989002000000362,0.0,0.0,0.0,,,,0.0001052665553894864,7.434378633496432e-05,0.00024774059420451516,1.9273133148089983e-05,0.0001,0.0,0.0001,0.0001,0.013430438000000001,0.007224222,0.024454222999999997,0.0033244893,,,,
69,319.0,0.0,2304.0,2304.0,54.0,2304.0,0.9988516000000378,1.0,1.0,0.0,,,,0.0013021871677315526,0.004241757148641853,0.01599523238837719,2.549486634961795e-05,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.013906931,0.019003848,0.07900701,0.0022622684,,,,
70,333.0,0.0,2359.0,2359.0,55.0,2359.0,0.9988021000000394,1.0,1.0,0.0,,,,0.002296412812938797,0.007909423271207637,0.030813109129667282,7.4873323683277695e-06,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.019622928,0.022671929,0.09710008,0.002856107,,,,
71,339.0,0.0,2383.0,2383.0,24.0,2383.0,0.9987805000000402,0.0,0.0,0.0,,,,0.010235083687196795,0.007130955228882227,0.01563628576695919,0.00013242231216281652,0.0001,0.0,0.0001,0.0001,0.054571185,0.024211728999999998,0.07611060000000001,0.018414704,,,,
72,345.0,0.0,2407.0,2407.0,24.0,2407.0,0.9987589000000408,0.0,0.0,0.0,,,,0.0051415292085342425,0.006865431217417808,0.014851680956780909,0.00020510189642664042,0.0001,0.0,0.0001,0.0001,0.03800474,0.013571951,0.058691575999999995,0.022651456,,,,
73,351.0,0.0,2431.0,2431.0,24.0,2431.0,0.9987373000000416,0.0,0.0,0.0,,,,0.005298767549296221,0.0071334021466864074,0.015858862549066544,0.00020193197997286918,0.0001,0.0,0.0001,0.0001,0.041326582,0.022608396,0.075218804,0.02042416,0.056785382,0.0150767425,0.07553725,0.040700916000000004
74,357.0,0.0,2455.0,2455.0,24.0,2455.0,0.9987157000000424,0.0,0.0,0.0,,,,0.002629408084127741,0.005565493557667868,0.015073446556925775,4.745471233036369e-05,0.0001,0.0,0.0001,0.0001,0.02279999,0.01700751,0.059978305999999995,0.009101571999999999,,,,
75,363.0,0.0,2479.0,2479.0,24.0,2479.0,0.9986941000000429,0.0,0.0,0.0,,,,8.88171586363266e-05,4.712836896375496e-05,0.0001680128334555775,4.1652761865407235e-05,0.0001,0.0,0.0001,0.0001,0.011226468,0.0018928089999999999,0.014710243000000001,0.008914278000000001,,,,
76,366.0,0.0,2490.0,2490.0,11.0,2490.0,0.9986842000000432,0.0,0.0,0.0,,,,0.010594515915727245,0.014891168183710744,0.03165377676486969,3.351386112626642e-05,0.0001,0.0,0.0001,0.0001,0.054458708,0.06142632,0.14130259,0.009194282,,,,
77,372.0,0.0,2514.0,2514.0,24.0,2514.0,0.9986626000000441,0.0,0.0,0.0,,,,0.00017942498501118584,9.55226478946337e-05,0.0003517862351145596,5.6374272389803075e-05,0.0001,0.0,0.0001,0.0001,0.018105572,0.004299978,0.023274181,0.011521832,,,,
78,385.0,0.0,2566.0,2566.0,52.0,2566.0,0.9986158000000456,1.0,1.0,0.0,,,,0.004824560872993271,0.0071037379105024735,0.015839478000998497,4.026544775115326e-05,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.031513996,0.026806327,0.07905144,0.008912102,,,,
79,391.0,0.0,2590.0,2590.0,24.0,2590.0,0.9985942000000464,0.0,0.0,0.0,,,,0.0026621158140187613,0.00545312408172268,0.014854385517537594,6.914739060448483e-05,0.0001,0.0,0.0001,0.0001,0.03215768,0.018505897,0.070709676,0.010687762,,,,
80,397.0,0.0,2614.0,2614.0,24.0,2614.0,0.9985726000000469,0.0,0.0,0.0,,,,0.002798991720434666,0.005880011960244174,0.01594531536102295,2.3184955352917317e-05,0.0001,0.0,0.0001,0.0001,0.029418424,0.021956457000000002,0.07466617,0.006893848,,,,
81,403.0,0.0,2638.0,2638.0,24.0,2638.0,0.9985510000000476,0.0,0.0,0.0,,,,0.0026659303691000482,0.005818011507419721,0.015674924477934837,9.513815712125506e-06,0.0001,0.0,0.0001,0.0001,0.018808762,0.021394728,0.06588706400000001,0.0048211045,,,,
82,409.0,0.0,2662.0,2662.0,24.0,2662.0,0.9985294000000484,0.0,0.0,0.0,,,,0.007859559985869659,0.011931648894741608,0.031280361115932465,7.91206730355043e-06,0.0001,0.0,0.0001,0.0001,0.034835596,0.04463574,0.11762274,0.0022081083,,,,
83,427.0,0.0,2735.0,2735.0,73.0,2735.0,0.9984637000000506,2.0,2.0,0.0,,,,0.00606585592888425,0.0074116283028873185,0.01565292850136757,3.116368316113949e-05,0.0001,0.0,0.0001,0.0001,0.037423822999999995,0.022076646000000002,0.07293779,0.009992974,0.065085374,0.015254013,0.08364529,0.047435532999999995
84,433.0,0.0,2759.0,2759.0,24.0,2759.0,0.9984421000000512,0.0,0.0,0.0,,,,0.00518633938433292,0.006991107885184924,0.015191481448709963,0.00011228365474380551,0.0001,0.0,0.0001,0.0001,0.03576396,0.014434588,0.057608242999999996,0.01579922,,,,
85,439.0,0.0,2783.0,2783.0,24.0,2783.0,0.998420500000052,0.0,0.0,0.0,,,,0.0026949776559680077,0.00555795689856908,0.015122908167541029,0.00017913072952069342,0.0001,0.0,0.0001,0.0001,0.031806413,0.012772161499999999,0.060274966,0.024756728,,,,
86,445.0,0.0,2807.0,2807.0,24.0,2807.0,0.9983989000000528,0.0,0.0,0.0,,,,0.007732310633097466,0.01172599860678274,0.03095798939466476,7.652780186617747e-05,0.0001,0.0,0.0001,0.0001,0.037326273,0.031890504,0.093239024,0.011536898,,,,
87,451.0,0.0,2831.0,2831.0,24.0,2831.0,0.9983773000000534,0.0,0.0,0.0,,,,0.0052709197310226346,0.007325903322510042,0.015783801674842834,4.8812711611390114e-05,0.0001,0.0,0.0001,0.0001,0.02994868,0.027244837999999997,0.069494985,0.0051678433,,,,
88,457.0,0.0,2855.0,2855.0,24.0,2855.0,0.998355700000054,0.0,0.0,0.0,,,,0.00010455442497914191,6.118606868003762e-05,0.00019943405641242864,3.4070657420670614e-05,0.0001,0.0,0.0001,0.0001,0.013901192,0.0024711436,0.017996473,0.01017083,,,,
89,463.0,0.0,2879.0,2879.0,24.0,2879.0,0.9983341000000548,0.0,0.0,0.0,,,,0.00768159640089531,0.007568271441263769,0.01547867152839899,0.00010396415018476546,0.0001,0.0,0.0001,0.0001,0.03754162,0.026716393999999997,0.06954129,0.009689605,,,,
90,476.0,0.0,2931.0,2931.0,52.0,2931.0,0.9982873000000564,1.0,1.0,0.0,,,,0.00965505792611601,0.012636510490930921,0.031108604744076732,0.00010763861064333469,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.059619106,0.039011408,0.13930061,0.015886215,0.058220625,0.013210867,0.08082959,0.047549177000000005
91,489.0,0.0,2985.0,2985.0,54.0,2985.0,0.998238700000058,1.0,1.0,0.0,,,,0.00015281375677799448,0.00011179472519663833,0.00046773444046266377,5.783063170383684e-05,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,0.01767015,0.009181375,0.03824782,0.008216272,,,,
92,495.0,0.0,3009.0,3009.0,24.0,3009.0,0.9982171000000588,0.0,0.0,0.0,,,,0.012545896510710008,0.011531226871176137,0.030760487541556362,6.913730612723157e-05,0.0001,0.0,0.0001,0.0001,0.060521316,0.045915365,0.13614024,0.008330319000000001,,,,
93,513.0,0.0,3081.0,3081.0,72.0,3081.0,0.9981523000000608,1.0,1.0,0.0,,,,0.003795127736178555,0.00839350297040739,0.030339974910020825,7.676542736589909e-05,0.0001,0.0,0.0001,0.0001,0.03218982,0.03127922,0.13416989,0.013543373000000001,,,,
94,526.0,0.0,3133.0,3133.0,52.0,3133.0,0.9981055000000624,1.0,1.0,0.0,,,,8.006346539938629e-05,3.836660192726895e-05,0.00017895227938424796,2.0373217921587642e-05,0.0001,0.0,0.0001,0.0001,0.008765244,0.004301512,0.021663746,0.0052472890000000005,,,,
95,532.0,0.0,3157.0,3157.0,24.0,3157.0,0.9980839000000632,0.0,0.0,0.0,,,,0.006355272735527251,0.00767896187368025,0.015939222648739815,3.743932757060975e-05,0.0001,0.0,0.0001,0.0001,0.033742268,0.03070818,0.07135453,0.006960479499999999,,,,
96,535.0,0.0,3168.0,3168.0,11.0,3168.0,0.9980740000000634,0.0,0.0,0.0,,,,0.01561260037124157,4.574842751026154e-05,0.01565834879875183,0.01556685194373131,0.0001,0.0,0.0001,0.0001,0.06736628,0.0035377145,0.070903994,0.063828565,,,,
97,541.0,0.0,3192.0,3192.0,24.0,3192.0,0.998052400000064,0.0,0.0,0.0,,,,0.00011814765548479043,5.5814224100343945e-05,0.00021414825459942224,3.0275483368313868e-05,0.0001,0.0,0.0001,0.0001,0.014434067,0.003523178,0.017948551,0.0075098095,,,,
