Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
57,204.0,0.0,1248.0,1248.0,9.0,1248.0,0.9797050000000082,9.0,9.0,0.0,,,,0.5182622991269454,0.5477470418282661,1.2870452404022217,0.010202581994235516,0.00025,0.0,0.00025,0.00025,3.1676803,3.0295978,7.759767999999999,0.5044358,4.868972232004988,2.4684556783231795,8.648275251635907,1.0,,,,
58,261.0,0.0,1305.0,1305.0,57.0,1305.0,0.9740620000000104,57.0,57.0,0.0,,,,0.378482059109956,0.2743803806151401,1.1553168296813965,0.0035860035568475728,0.00025,0.0,0.00025,0.00025,2.643305,1.482712,6.775282000000001,0.23650603,24.25721728909893,12.489794765062516,43.6094809547612,1.0,2.9425972000000002,0.15384173,3.096439,2.7887554
59,271.0,0.0,1315.0,1315.0,10.0,1315.0,0.9730720000000108,10.0,10.0,0.0,,,,0.3141711577773094,0.24017706687882415,0.7250069379806519,0.06139089912176132,0.00025,0.0,0.00025,0.00025,2.2007362999999995,0.8939347,3.9394388,0.9863635000000001,5.338254258716446,2.7323939462696547,9.561792499119552,1.0,,,,
60,286.0,0.0,1330.0,1330.0,15.0,1330.0,0.9715870000000114,15.0,15.0,0.0,,,,0.2591265022222485,0.14743897480932142,0.4809159934520722,0.03933188691735268,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,1.7099849999999999,0.57640827,2.5661557,0.81187123,7.638514063250426,4.009779174449701,13.994164535871143,1.0,,,,
61,307.0,0.0,1351.0,1351.0,21.0,1351.0,0.9695080000000122,21.0,21.0,0.0,,,,0.5659460243303329,0.5658918745606436,1.591339349746704,0.009321284480392931,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,3.2786160000000004,3.105652,9.989911,0.32275690000000007,10.300280732879036,5.4568759064067045,19.027213177874135,1.0,3.2982546999999998,0.4134376,3.7116922999999997,2.8848171000000002
62,320.0,0.0,1364.0,1364.0,13.0,1364.0,0.9682210000000128,13.0,13.0,0.0,,,,0.5247145133713881,0.39763737771012736,1.0964280366897583,0.032306425273418427,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,3.9915981,1.8274869999999999,7.811304,1.5354183000000001,6.727548283829467,3.506985965126692,12.2478977001032,1.0,,,,
63,334.0,0.0,1378.0,1378.0,14.0,1378.0,0.9668350000000132,14.0,14.0,0.0,,,,0.5290325642205201,0.4570941830469943,1.6876268386840818,0.012922311201691628,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,3.776474,1.94878,7.757472,0.9434386999999999,7.184539029491803,3.7597049262044866,13.125418723102165,1.0,,,,
64,355.0,0.0,1399.0,1399.0,21.0,1399.0,0.9647560000000142,21.0,21.0,0.0,,,,0.3887651622295379,0.3065411913848767,0.938313126564026,0.03164403885602951,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,2.6951811,1.2880411,5.959614,1.2469013999999998,10.300280732879036,5.4568759064067045,19.027213177874135,1.0,,,,
65,383.0,0.0,1427.0,1427.0,28.0,1427.0,0.9619840000000152,28.0,28.0,0.0,,,,0.4198377920245683,0.271437048153756,1.1051806211471558,0.03545528650283813,0.00025,0.0,0.00025,0.00025,2.7393183999999997,1.4204518,7.637061999999999,0.86162573,13.275747975570136,7.0359533381797545,24.528071279636716,1.0,4.019952,0.09270999,4.1553135,3.9230306000000006
66,393.0,0.0,1437.0,1437.0,10.0,1437.0,0.9609940000000156,10.0,10.0,1.0,,,,0.3203573785722256,0.2799509164044105,1.0052282810211182,0.035237081348896034,0.00025,0.0,0.00025,0.00025,2.3399412999999996,0.97234297,3.8779663999999996,1.1662028999999998,5.338254258716446,2.7323939462696547,9.561792499119552,1.0,,,,
