Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
53,1326.0,0.0,2385.0,2385.0,18.0,2385.0,0.4869953999999944,19.0,19.0,0.0,,,,81.99670680363974,97.26237994651346,382.4474792480469,8.894004821777344,0.00025,0.0,0.00025,0.00025,587.826,350.06012000000004,1347.1981,212.13717999999997,-9.330072,3.166101,-5.3065386,-14.620726999999999
54,1348.0,0.0,2407.0,2407.0,22.0,2407.0,0.4867797999999943,5.0,5.0,0.0,,,,95.78591359745373,97.45924454881587,303.9584045410156,6.743880271911621,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,680.52094,473.55444000000006,1896.9816,106.940895,-0.59113973,13.134312,31.896877000000003,-12.051649000000001
55,1361.0,0.0,2420.0,2420.0,13.0,2420.0,0.4866523999999942,41.0,41.0,0.0,,,,109.88866971089291,181.48717819839317,698.3909301757812,6.4101295471191415,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,739.62634,658.2176,2376.0388,85.03746,2.7821789,17.361809,40.026447,-11.279717999999999
56,1364.0,0.0,2423.0,2423.0,3.0,2423.0,0.4866229999999942,91.0,91.0,0.0,,,,80.47271156311034,78.54603067656144,191.52239990234372,22.668954849243164,0.00025,0.0,0.00025,0.00025,535.9307,257.776,894.21375,298.4998,,,,
57,1439.0,0.0,2498.0,2498.0,75.0,2498.0,0.4858879999999939,-335.0,-335.0,0.0,,,,96.08503583908082,124.80807678209736,514.173095703125,4.3141393661499015,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,626.90234,533.24286,2783.1902,65.88433,-8.527066,1.6225278,-2.5274229999999998,-12.232175
58,1498.0,0.0,2557.0,2557.0,59.0,2557.0,0.4853097999999936,-178.0,-178.0,0.0,,,,117.55757200919977,114.11358692446731,472.1634826660156,8.402668952941895,0.00025,0.0,0.00025,0.00025,922.20874,667.40356,3582.204,146.82858000000002,-7.23521,4.928628400000001,15.829664000000001,-13.353032
59,1559.0,0.0,2618.0,2618.0,61.0,2618.0,0.4847119999999934,-171.0,-171.0,0.0,,,,116.68771065258586,139.48276663227801,598.498046875,4.002677917480469,0.00025,0.0,0.00025,0.00025,816.33954,654.64233,2997.8782,58.915085,-5.3302336,6.348686,26.251095,-12.3524065
60,1634.0,0.0,2693.0,2693.0,75.0,2693.0,0.483976999999993,-345.0,-345.0,0.0,,,,80.24322883605956,91.94067600797855,438.55767822265625,2.0386533737182617,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,820.62036,625.4397,3114.2856,41.593445,-7.7299275,1.5064402,-1.0372726,-10.832378
61,1709.0,0.0,2768.0,2768.0,75.0,2768.0,0.4832419999999927,-350.0,-350.0,0.0,,,,93.94992042859396,93.9039632410543,407.0843505859375,3.5773050785064697,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,952.4058,717.68005,2980.0925,59.625983999999995,-7.710591,1.9228483,-4.1509137,-12.3651495
62,1784.0,0.0,2843.0,2843.0,75.0,2843.0,0.4825069999999924,-350.0,-350.0,0.0,,,,57.982298984527596,75.62193751117734,426.3370361328125,4.418214797973633,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,707.2439999999999,595.20807,3013.3784,49.190258,-8.488934,1.1392403,-5.808168,-11.507439999999999
63,1826.0,0.0,2885.0,2885.0,42.0,2885.0,0.4820953999999922,-89.0,-89.0,0.0,,,,96.45096975848787,118.29864277995928,569.5153198242188,3.8038604259490967,0.00025,0.0,0.00025,0.00025,951.7294300000001,744.7195,3137.3875,52.8915,-6.9382267,3.9835043,12.207226,-10.03658
64,1901.0,0.0,2960.0,2960.0,75.0,2960.0,0.4813603999999919,-315.0,-315.0,0.0,,,,71.74648737271626,101.64559680045643,498.63568115234375,2.621640682220459,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,797.25555,753.73285,3167.3428,46.049828000000005,-4.0615873,8.203237,36.191887,-10.860691000000001
65,1976.0,0.0,3035.0,3035.0,75.0,3035.0,0.4806253999999916,-350.0,-350.0,0.0,,,,79.54681191126505,91.40908479343241,360.56396484375,3.980332374572754,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,842.8209,667.48334,2490.3093,57.521698,-8.542146,1.7258023999999998,-3.5104727999999996,-11.834892
66,1990.0,0.0,3049.0,3049.0,14.0,3049.0,0.4804881999999915,42.0,42.0,1.0,,,,58.478426354272024,63.95958661226804,197.24411010742188,7.603097438812256,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,818.31964,611.2352,1894.3059,61.562743999999995,-7.5834613,6.824565400000001,15.171685,-11.412735000000001
67,2065.0,0.0,3124.0,3124.0,75.0,3124.0,0.4797531999999912,-350.0,-350.0,0.0,,,,93.85682313283286,82.43691789850409,380.6775817871094,8.146998405456543,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,1058.4286,677.59344,2774.0959999999995,146.98053000000002,-9.126822,2.6006162,3.5830102,-13.489456
68,2140.0,0.0,3199.0,3199.0,75.0,3199.0,0.4790181999999909,-380.0,-380.0,0.0,,,,92.42755892435709,103.05625622348158,587.4784545898438,9.647817611694336,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,1201.8611,881.3063400000001,3982.5845,97.253365,-9.766973,2.0002801,-2.750455,-15.856879000000001
