Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
43,2.0,0.0,9.0,1.0,9.0,1067.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.3862778999999998,1.2010463e-05,1.386292,1.3862567,,,,,,,,,,,,,,,,
44,4.0,0.0,24.0,1.0,24.0,1091.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0019301920999999999,0.0,0.0019301920999999999,0.0019301920999999999,0.0,0.0,0.0,0.0,1.386233,3.2285585e-05,1.386292,1.3862003999999999,-0.0041440647095441815,0.0020478593906455406,-0.00048159435391426086,-0.0072930753231048575,0.042310197,0.00022300317000000002,0.042613313,0.04177901,2.6288453e-05,0.0,2.6288453e-05,2.6288453e-05,-0.005752224,0.0,-0.005752224,-0.005752224
45,6.0,0.0,24.0,1.0,24.0,1115.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.001751986,0.0,0.001751986,0.001751986,0.0,0.0,0.0,0.0,1.3862136999999999,4.1601503e-05,1.3862926000000002,1.386169,-0.0035855363123118884,0.0016793620286818852,-0.0003747381269931793,-0.0060549508780241,0.035426185,0.00024530332,0.035773356,0.034862187,1.8659152999999997e-05,0.0,1.8659152999999997e-05,1.8659152999999997e-05,-0.0049603220000000005,0.0,-0.0049603220000000005,-0.0049603220000000005
46,8.0,0.0,24.0,1.0,24.0,1139.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00095182285,0.0,0.00095182285,0.00095182285,0.0,0.0,0.0,0.0,1.3861866000000003,5.1936582e-05,1.3862927,1.3861379999999999,-0.0025175486691296103,0.0013872777787996508,-0.0001755282282829285,-0.0045709293335676185,0.028183898,0.00028395842,0.028636752,0.027480727000000003,1.3109512e-05,0.0,1.3109512e-05,1.3109512e-05,-0.0034940145000000003,0.0,-0.0034940145000000003,-0.0034940145000000003
47,10.0,0.0,24.0,1.0,24.0,1163.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0010551213000000001,0.0,0.0010551213000000001,0.0010551213000000001,0.0,0.0,0.0,0.0,1.3861586000000001,6.422485999999999e-05,1.3862923,1.3861008,-0.001759808138012886,0.0008865856606539412,-0.00025005824863910675,-0.003345899283885956,0.021701152999999997,0.0003818943,0.022207255,0.02102205,8.440567e-06,0.0,8.440567e-06,8.440567e-06,-0.0024450942999999998,0.0,-0.0024450942999999998,-0.0024450942999999998
48,14.0,0.0,67.0,1.0,67.0,1230.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,0.17579241,0.12482969,0.28342363,0.0007938171000000001,0.6538970461041452,0.5063659142180362,1.6757290490602832,0.0,1.3861063999999998,4.9355036e-05,1.3862921000000001,1.386075,0.2085835553705692,0.4002674886064493,0.9981718063354492,-0.004475856199860573,0.024012165,0.005891508399999999,0.03176264,0.016478624,0.10374948,0.07385776,0.16614674,8.515882e-06,0.28937609999999997,0.20883806,0.46924309999999997,-0.0034265690000000004
49,17.0,0.0,52.0,1.0,52.0,1282.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,0.2889245,0.28662938,0.5755539000000001,0.0022951004,0.5148012122030814,0.42792094166684,1.0,0.0,1.386134,5.2848219999999995e-05,1.3862914,1.3860838,0.2566765062510967,0.4236635947125597,0.9958885908126832,-0.009030550718307495,0.05891695,0.0057829055,0.06624535,0.05250260599999999,0.12703118,0.12698811,0.25401929999999995,4.3053846000000004e-05,0.35748485,0.3642105,0.72169536,-0.006725645600000001
50,21.0,0.0,72.0,1.0,72.0,1354.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,0.018327413,0.019614955,0.046059825,0.003909155300000001,0.4690527208555781,0.41448467054854793,1.0,0.0,1.3862239,2.1144052999999998e-05,1.3862883999999998,1.3861748,0.005983915179967879,0.12659645591662427,0.9774341583251952,-0.02149483561515808,0.11116559,0.00976512,0.1233798,0.097873844,0.009706427,0.013482872,0.028774072999999997,0.00015187441999999998,0.00820453,0.0318346,0.05320719,-0.015407163
51,23.0,0.0,24.0,1.0,24.0,1378.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.005976206600000001,0.0,0.005976206600000001,0.005976206600000001,0.0,0.0,0.0,0.0,1.3861161,4.1303145000000004e-05,1.3862633,1.3860611999999999,-0.013373318687081337,0.006702669567540299,-0.0014971643686294556,-0.024341791868209842,0.13874045,0.00061602145,0.13944286,0.13752382,0.0002977994,0.0,0.0002977994,0.0002977994,-0.018621407,0.0,-0.018621407,-0.018621407
52,25.0,0.0,24.0,1.0,24.0,1402.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0049420325,0.0,0.0049420325,0.0049420325,0.0,0.0,0.0,0.0,1.3859607,8.688452e-05,1.3862484,1.385856,-0.014758345857262609,0.007617326753120915,-0.00154992938041687,-0.026562392711639404,0.14848942,0.00026107545,0.14886760000000002,0.14785479,0.00032955915,0.0,0.00032955915,0.00032955915,-0.020518111000000002,0.0,-0.020518111000000002,-0.020518111000000002
