Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,L/Mean,L/Stdev,L/Max,L/Min,Advantage/Mean,Advantage/Stdev,Advantage/Max,Advantage/Min,Action/Mean,Action/Stdev,Action/Max,Action/Min,V/Mean,V/Stdev,V/Max,V/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min
36,0.0,1.0,808.0,36.0,20.0,808.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.114080086951971,4.320480055632488,12.815627003450839,-0.01590400939036908,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,858.0,37.0,50.0,858.0,0.0,,,0.0,,,,,,,,,,,,,,,,13.306968559598555,10.224926477490454,30.078917502963595,-0.5753997573163385,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,871.0,38.0,13.0,871.0,0.0,,,0.0,,,,,,,,,,,,,,,,5.495698117281915,3.1572573880167343,10.715705850967256,0.6749468704054435,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,892.0,39.0,21.0,892.0,0.0,,,0.0,,,,,,,,,,,,,,,,9.317174327685152,4.982546033963279,17.495153098657347,0.9520240907166194,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,902.0,40.0,10.0,902.0,0.0,,,0.0,,,,,,,,,,,,,,,,2.938340702050772,1.7201634066343507,6.009539745557512,0.5100842972208789,,,,,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,928.0,41.0,26.0,928.0,0.0,,,0.0,,,,,,,,,,,,,,,,2.4206834194700733,3.9445621294691686,10.394990700752668,-1.9782852453764337,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,951.0,42.0,23.0,951.0,0.0,,,0.0,,,,,,,,,,,,,,,,12.719391889060464,6.624112258666714,23.007549666545767,1.2278069968403675,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,976.0,43.0,25.0,976.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.377980096842524,4.346270157572223,12.699077365118232,-0.2472226174689359,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,1009.0,44.0,33.0,1009.0,0.0,,,0.0,,,,,,,,,,,,,,,,13.216300829527714,7.637298339712085,25.70325126690009,0.7148779733131938,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,1022.0,45.0,13.0,1022.0,0.0,,,0.0,,,,,,,,,,,,,,,,4.940905345630272,2.986768339242604,9.982533755372453,0.4655982264816749,,,,,,,,,,,,,,,,,,,,,,,,
