Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
47,22.0,0.0,24.0,1.0,24.0,1308.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0045820316,0.0,0.0045820316,0.0045820316,1.3853499,2.1295074e-05,1.385392,1.385313,-0.0037449508905410774,0.0020445419917352295,-0.0001959092915058136,-0.007523659616708755,0.050760537,0.001070339,0.052056257,0.048554715,9.102406e-06,0.0,9.102406e-06,9.102406e-06,-0.0052730673999999995,0.0,-0.0052730673999999995,-0.0052730673999999995
48,24.0,0.0,24.0,1.0,24.0,1332.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0060019745,0.0,0.0060019745,0.0060019745,1.3853229,2.5385212e-05,1.3853673999999998,1.3852743,-0.005265530385077,0.0024859787152524265,-0.00022338330745697021,-0.009587571024894714,0.04171538,0.00084538705,0.043195187999999995,0.03985735,1.6952950000000002e-05,0.0,1.6952950000000002e-05,1.6952950000000002e-05,-0.007282461,0.0,-0.007282461,-0.007282461
49,26.0,0.0,24.0,1.0,24.0,1356.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0036177046,0.0,0.0036177046,0.0036177046,1.3853207,2.0212714000000002e-05,1.3853712,1.385291,-0.003108510840684176,0.00169222101457804,-0.00041230767965316767,-0.00610603578388691,0.030852154,0.00058443536,0.03196772,0.029901992999999998,6.263226e-06,0.0,6.263226e-06,6.263226e-06,-0.0042563165,0.0,-0.0042563165,-0.0042563165
50,28.0,0.0,24.0,1.0,24.0,1380.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0025014307,0.0,0.0025014307,0.0025014307,1.3852663,1.6596246e-05,1.3852993999999998,1.3852358,-0.0022413092665374283,0.0011514494545423926,-0.00039863213896751404,-0.004363179206848145,0.02082738,0.0005292751,0.021627221000000002,0.019590521,3.174651e-06,0.0,3.174651e-06,3.174651e-06,-0.0030871914,0.0,-0.0030871914,-0.0030871914
51,30.0,0.0,24.0,1.0,24.0,1404.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.001532798,0.0,0.001532798,0.001532798,1.3852247,2.0650465e-05,1.3852699,1.3851866000000002,-0.0014305172488093376,0.0006667302308387879,-0.0005681207403540611,-0.002757717855274677,0.012643966000000001,0.00048723258,0.013589173000000001,0.011626418000000001,1.2454544e-06,0.0,1.2454544e-06,1.2454544e-06,-0.0019780158,0.0,-0.0019780158,-0.0019780158
52,32.0,0.0,24.0,1.0,24.0,1428.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00048606648,0.0,0.00048606648,0.00048606648,1.3851342,3.2065076e-05,1.3851818999999999,1.385066,-0.0004319639643654228,0.0006685572497978824,0.0009458572603762151,-0.0016856584697961807,0.0056736274,0.0006412698400000001,0.006687136999999999,0.004106141,3.1678078000000003e-07,0.0,3.1678078000000003e-07,3.1678078000000003e-07,-0.0006048596,0.0,-0.0006048596,-0.0006048596
53,34.0,0.0,24.0,1.0,24.0,1452.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.504040000000001e-05,0.0,9.504040000000001e-05,9.504040000000001e-05,1.3850870000000002,1.924924e-05,1.3851258999999998,1.385044,-5.671068647643552e-05,0.0005105455585091854,0.0011005165288224816,-0.0008100821869447827,-0.0008139972,0.0004972792,-9.9380704e-05,-0.0019567579000000002,1.3193645000000002e-07,0.0,1.3193645000000002e-07,1.3193645000000002e-07,-8.160041e-05,0.0,-8.160041e-05,-8.160041e-05
54,36.0,0.0,24.0,1.0,24.0,1476.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0005451992,0.0,0.0005451992,0.0005451992,1.3850498,1.9589974e-05,1.3850898,1.3850049999999998,0.0005071681924164295,0.0006697630626399803,0.0018128645606338976,-0.0004660924896597862,-0.006548022,0.0004970032599999999,-0.005843638000000001,-0.0077533511999999995,3.5290108000000004e-07,0.0,3.5290108000000004e-07,3.5290108000000004e-07,0.00070462667,0.0,0.00070462667,0.00070462667
55,38.0,0.0,24.0,1.0,24.0,1500.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.000993865,0.0,0.000993865,0.000993865,1.3850313,2.6388629e-05,1.3850777,1.384975,0.0009322650730609895,0.0008600213583317891,0.0028011202812194824,-0.00019837636500597,-0.010839028,0.000533268,-0.009807538000000001,-0.012159403999999999,8.0437746e-07,0.0,8.0437746e-07,8.0437746e-07,0.001299068,0.0,0.001299068,0.001299068
56,40.0,0.0,24.0,1.0,24.0,1524.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0014047428,0.0,0.0014047428,0.0014047428,1.3850479,2.1044561e-05,1.385092,1.3850040000000001,0.0011298372875899075,0.0009281943222978457,0.0028439033776521683,-0.00012089218944311142,-0.012386013000000001,0.00048096422999999996,-0.011797628000000001,-0.013476891999999999,1.0690386e-06,0.0,1.0690386e-06,1.0690386e-06,0.0015202354000000001,0.0,0.0015202354000000001,0.0015202354000000001
