Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
33,480.0,0.0,8118.0,33.0,50.0,1650.0,0.1,-9.0,-9.0,1.0,,,,,,,,,,,,,,,,-1.6360653028316328,1.7263021949340849,0.0,-7.51421907874323,,,,,,,,,,,,,,,,,,,,,-0.40958449999999996,0.47035889999999997,-0.023008417000000003,-1.5462278999999999,,,,,-0.1698641181887118,0.5187547422849117,0.9864026867582514,-1.3699620272626216
34,520.0,0.0,8364.0,34.0,50.0,1700.0,0.1,-8.0,-8.0,1.0,,,,,,,,,,,,,,,,-1.1621490436748003,1.6190531244046904,0.0,-6.977398935025714,,,,,,,,,,,,,,,,,,,,,-0.49287713,0.34029537,-0.22891647,-1.4255267,,,,,0.06466749412351623,0.4946305062568048,1.1800031460011224,-1.1760998056463592
35,560.0,0.0,8610.0,35.0,50.0,1750.0,0.1,-3.0,-3.0,0.0,,,,,,,,,,,,,,,,-1.1941388834223785,0.9104865931654268,0.0,-2.5458983534388184,,,,,,,,,,,,,,,,,,,,,-0.20733379,0.31178555,0.041856095,-1.2631887,,,,,0.027871789497810568,0.4961363416213368,1.0487965523808356,-1.134310733011473
36,600.0,0.0,8856.0,36.0,50.0,1800.0,0.1,-8.0,-8.0,1.0,,,,,,,,,,,,,,,,-3.2136058421854954,1.4803841789769068,0.0,-5.1102026527072315,,,,,,,,,,,,,,,,,,,,,-0.42075920000000006,0.31487027,-0.08051130000000001,-1.3481264,,,,,0.07942097502801054,0.6147531787955549,1.331872970946765,-1.3120616688066016
37,640.0,0.0,9102.0,37.0,50.0,1850.0,0.1,-13.0,-13.0,1.0,,,,,,,,,,,,,,,,-1.6820970737450975,3.2961922174973863,0.0,-11.548880536994796,,,,,,,,,,,,,,,,,,,,,-0.5089166,0.5208885,-0.08366441,-1.4901327,,,,,0.028832679160003826,0.5262134231621804,1.1711272603423548,-1.2438978595466244
38,680.0,0.0,9348.0,38.0,50.0,1900.0,0.1,-8.0,-8.0,1.0,,,,,,,,,,,,,,,,-1.6472866752609254,1.1289639686221733,-0.8742859851575978,-6.482360535448033,,,,,,,,,,,,,,,,,,,,,-0.43408474,0.43373495,-0.07946025,-1.5906476,,,,,-0.04513218789596976,0.5182706325034306,1.3843268908968518,-1.2574258941030498
39,720.0,0.0,9594.0,39.0,50.0,1950.0,0.1,-6.0,-6.0,1.0,,,,,,,,,,,,,,,,-2.1285896454836544,0.5267648576771345,-0.98,-3.9504187290983097,,,,,,,,,,,,,,,,,,,,,-0.21499304,0.29824865,-0.025732337999999997,-1.4081281,,,,,0.06490401935535375,0.5178229711604055,1.3230085480048162,-1.072343828746677
40,760.0,0.0,9840.0,40.0,50.0,2000.0,0.1,-4.0,-4.0,0.0,,,,,,,,,,,,,,,,-0.7314840991518018,0.5103787841499926,0.0,-3.3352203069879565,,,,,,,,,,,,,,,,,,,,,-0.299133,0.37521252,-0.083402485,-1.6166476,,,,,-0.11293477205232776,0.4893869723814646,1.285088777197063,-1.119588450460298
41,800.0,0.0,10086.0,41.0,50.0,2050.0,0.1,-7.0,-7.0,1.0,,,,,,,,,,,,,,,,-1.3372189664017424,1.033900584261135,0.0,-5.77834799346761,,,,,,,,,,,,,,,,,,,,,-0.36341834,0.43212622,-0.082561225,-1.7757638999999998,,,,,-0.03704620165373626,0.4981153410126137,1.0712747426571652,-1.2936945119882928
42,840.0,0.0,10332.0,42.0,50.0,2100.0,0.1,-4.0,-4.0,1.0,,,,,,,,,,,,,,,,-0.5388404735203473,0.6770272977325376,0.0,-3.5317954351833185,,,,,,,,,,,,,,,,,,,,,-0.4191753,0.37945393,-0.08087729,-1.6807686999999998,,,,,0.05296207622690502,0.5737145339013277,1.2009196560957722,-1.205234812262874
43,880.0,0.0,10578.0,43.0,50.0,2150.0,0.1,-9.0,-9.0,1.0,,,,,,,,,,,,,,,,-1.9534362796263705,2.2447245495877723,0.0,-7.190371143238397,,,,,,,,,,,,,,,,,,,,,-0.44517872,0.4446916,-0.1035069,-1.711071,,,,,-0.10750031474836602,0.5277175458626103,0.9950936577992564,-1.508090656858723
44,920.0,0.0,10824.0,44.0,50.0,2200.0,0.1,-10.0,-10.0,1.0,,,,,,,,,,,,,,,,-2.4084345717212283,1.5636745941552477,0.0,-7.746495334978335,,,,,,,,,,,,,,,,,,,,,-0.57936615,0.48102596,-0.24653426,-1.9009688000000002,,,,,-0.02226846228713475,0.4938771332308797,1.1656509399499901,-1.350413259810331
45,960.0,0.0,11070.0,45.0,50.0,2250.0,0.1,-4.0,-4.0,0.0,,,,,,,,,,,,,,,,-0.7730621599128825,0.4809362504663087,-0.4028778642734252,-3.292793714374609,,,,,,,,,,,,,,,,,,,,,-0.32046914,0.30156583,-0.11504975,-1.6499435000000002,,,,,-0.0393725557967934,0.49661190496022095,0.9980934098162764,-1.0196817951114927
46,1000.0,0.0,11316.0,46.0,50.0,2300.0,0.1,-3.0,-3.0,1.0,,,,,,,,,,,,,,,,-0.118408,0.5072539686744697,0.0,-2.9404,,,,,,,,,,,,,,,,,,,,,-0.25024205,0.35049212,-0.07486424,-1.7018398000000001,,,,,0.007248607614031069,0.4818278254468624,1.2367196652668075,-1.3705381026864285
47,1040.0,0.0,11562.0,47.0,50.0,2350.0,0.1,-9.0,-9.0,1.0,,,,,,,,,,,,,,,,-1.8819783421255776,2.1718146934661555,0.0,-7.263287405994307,,,,,,,,,,,,,,,,,,,,,-0.38933071,0.44393045,-0.10128394,-1.5871893,,,,,-0.06633809561700285,0.4881357938711459,1.0156225347900971,-1.2105558456938854
48,1080.0,0.0,11808.0,48.0,50.0,2400.0,0.1,-4.0,-4.0,1.0,,,,,,,,,,,,,,,,-0.31767664925020395,0.7401349132522941,0.0,-3.7574728068875465,,,,,,,,,,,,,,,,,,,,,-0.46883762,0.40421605,-0.18015712,-1.9758633,,,,,0.046516182224574924,0.5179164258059624,1.1525389125752137,-1.0963359069640894
49,1120.0,0.0,12054.0,49.0,50.0,2450.0,0.1,-7.0,-7.0,1.0,,,,,,,,,,,,,,,,-2.165344533105843,1.1394325409177235,0.0,-4.933321904994036,,,,,,,,,,,,,,,,,,,,,-0.42541543,0.46604350000000005,-0.10677402,-1.8987848999999999,,,,,0.05971204921468148,0.5284465789087286,1.2462931084469826,-1.2490249902717148
50,1160.0,0.0,12300.0,50.0,50.0,2500.0,0.1,-10.0,-10.0,0.0,,,,,,,,,,,,,,,,-4.2402756334161165,0.9642932319395578,-1.0,-5.95623793846632,,,,,,,,,,,,,,,,,,,,,-0.5534979999999999,0.49172047,-0.21980745,-1.9380786,,,,,-0.03249102368343407,0.5643921379790416,1.2614271101096397,-1.3188824032424225
