Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min
49,11.0,0.0,1055.0,49.0,12.0,1055.0,0.4980399999999998,12.0,12.0,0.0,,,,385.6464177911932,56.4382435744357,453.7681884765625,298.00506591796875,0.0001,0.0,0.0001,0.0001,368.2701,70.72579,465.1204,242.56297,6.5,3.452052529534663,12.0,1.0
50,37.0,0.0,1081.0,50.0,26.0,1081.0,0.4937933333333328,26.0,26.0,0.0,,,,330.9097998046875,53.81167843305303,446.1451721191406,256.64093017578125,0.0001,0.0,0.0001,0.0001,233.26672000000002,103.295525,490.76437000000004,69.08931,13.5,7.5,26.0,1.0
51,53.0,0.0,1097.0,51.0,16.0,1097.0,0.4911799999999992,16.0,16.0,0.0,,,,296.7834452311198,51.609968830357616,383.2273254394531,230.49615478515625,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,141.60435,52.660140000000006,272.00327000000004,87.53429399999999,8.5,4.609772228646444,16.0,1.0
52,64.0,0.0,1108.0,52.0,11.0,1108.0,0.4893833333333323,11.0,11.0,0.0,,,,278.450424194336,44.172208999466505,366.86895751953125,223.49508666992188,0.0001,0.0,0.0001,0.0001,168.62126,82.076256,328.95718,68.28081999999999,6.0,3.1622776601683795,11.0,1.0
53,87.0,0.0,1131.0,53.0,23.0,1131.0,0.4856266666666653,23.0,23.0,0.0,,,,279.5792805064808,44.463016738307054,368.356689453125,192.03564453125,0.0001,1.3552527156068802e-20,0.0001,0.0001,156.4273,67.1064,302.95444,77.61362,12.0,6.6332495807108,23.0,1.0
54,152.0,0.0,1196.0,54.0,65.0,1196.0,0.4750099999999977,65.0,65.0,0.0,,,,264.7044055461884,43.085217005025214,366.64361572265625,169.93707275390625,0.00010000000000000002,1.3552527156068802e-20,0.0001,0.0001,134.45761000000002,54.68561999999999,364.3526,63.73161700000001,33.0,18.76166303929372,65.0,1.0
55,189.0,0.0,1233.0,55.0,37.0,1233.0,0.4689666666666638,37.0,37.0,0.0,,,,255.27068540785046,33.441591554475,313.8843688964844,171.51336669921875,0.0001,1.3552527156068802e-20,0.0001,0.0001,143.91646,58.998302,367.70074,82.520676,19.0,10.677078252031311,37.0,1.0
56,211.0,0.0,1255.0,56.0,22.0,1255.0,0.4653733333333301,22.0,22.0,0.0,,,,221.88248189290368,33.96892124492252,294.3837890625,164.7964324951172,0.0001,1.3552527156068802e-20,0.0001,0.0001,134.08221,35.01956,226.8712,87.9466,11.5,6.344288770224759,22.0,1.0
57,234.0,0.0,1278.0,57.0,23.0,1278.0,0.4616166666666631,23.0,23.0,0.0,,,,221.29095736416903,33.47633571662085,299.88482666015625,173.60752868652344,0.0001,1.3552527156068802e-20,0.0001,0.0001,151.41378999999998,49.70632,316.69745,90.079544,12.0,6.6332495807108,23.0,1.0
58,272.0,0.0,1316.0,58.0,38.0,1316.0,0.4554099999999958,38.0,38.0,0.0,,,,197.78244307234482,25.446432524884266,240.49594116210938,152.11749267578125,9.999999999999998e-05,2.7105054312137605e-20,0.0001,0.0001,155.72125,38.629005,252.9965,90.86801,19.5,10.965856099730654,38.0,1.0
59,300.0,0.0,1344.0,59.0,28.0,1344.0,0.4508366666666621,28.0,28.0,0.0,,,,172.4388269495081,24.86754993610045,224.26959228515625,130.49940490722656,0.0001,1.3552527156068802e-20,0.0001,0.0001,150.00925,46.7189,307.2137,88.17799000000001,14.5,8.077747210701755,28.0,1.0
