Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
37,640.0,0.0,9102.0,37.0,50.0,1850.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1600919,0.09548019,-0.9979508,-1.3798517,,,,,-0.2101437122506841,0.7299084939568837,1.3239703718715294,-1.3405360693743478
38,680.0,0.0,9348.0,38.0,50.0,1900.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3305348999999997,0.116743065,-1.0830333,-1.5264891,,,,,-0.13112553941845362,0.7211228984173159,1.3996307691678809,-1.3468167621102938
39,720.0,0.0,9594.0,39.0,50.0,1950.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2972268999999998,0.058427718,-1.2196242,-1.5283513000000002,,,,,0.25671410875166656,0.8036334262987821,1.4302267688224153,-1.3225048658422485
40,760.0,0.0,9840.0,40.0,50.0,2000.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4697117,0.038868353,-1.4092494,-1.540408,,,,,0.2276868617090017,0.8111693009016268,1.368896955665806,-1.5112654330797746
41,800.0,0.0,10086.0,41.0,50.0,2050.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7228299999999999,0.022774475,-1.6553037,-1.7921136999999998,,,,,-0.19972705595778964,0.7267129129139068,1.2971051014653034,-1.5348926940943108
42,840.0,0.0,10332.0,42.0,50.0,2100.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7413901999999999,0.14767262,-0.3261515,-1.1271408,,,,,0.2219154802728016,0.7686696399754069,1.497686934130685,-1.4622850936414942
43,880.0,0.0,10578.0,43.0,50.0,2150.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7500425000000001,0.20472693,-0.40012062,-0.99210334,,,,,-0.30522987292560017,0.6826276054613221,1.2977333109631322,-1.4360051523566801
44,920.0,0.0,10824.0,44.0,50.0,2200.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3761786,0.04053226,-1.2902478000000002,-1.4844601999999998,,,,,0.4024127020423876,0.6535421413204898,1.4943356736073987,-1.3483212559880042
45,960.0,0.0,11070.0,45.0,50.0,2250.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8783398999999998,0.03977133,-1.7768986,-1.9697291000000001,,,,,0.04269314775076626,0.7247493686973878,1.2452966579051927,-1.60697939463197
46,1000.0,0.0,11316.0,46.0,50.0,2300.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0949825,0.18261002,-0.8952986999999999,-1.6789366999999997,,,,,0.2551858372757968,0.8980287786694482,1.48400020012413,-1.4256590199749255
