Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
65,0.0,1.0,3.0,1.0,3.0,367.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
66,0.0,1.0,5.0,1.0,5.0,372.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1480149401,0.06896102301892251,0.2450497505,0.05,,,,,,,,,,,,
67,0.0,1.0,4.0,1.0,4.0,376.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
68,0.0,1.0,11.0,1.0,11.0,387.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.29022144164224,0.14966996075313924,0.5233087287064176,0.05,,,,,,,,,,,,
69,0.0,1.0,6.0,1.0,6.0,393.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.17211232558249998,0.08286397799189531,0.292599252995,0.05,,,,,,,,,,,,
70,0.0,1.0,4.0,1.0,4.0,397.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
71,0.0,1.0,6.0,1.0,6.0,403.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.17211232558249998,0.08286397799189531,0.292599252995,0.05,,,,,,,,,,,,
72,0.0,1.0,4.0,1.0,4.0,407.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
73,0.0,1.0,4.0,1.0,4.0,411.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
74,0.0,1.0,3.0,1.0,3.0,414.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.099335,0.040214667100449804,0.148505,0.05,,,,,,,,,,,,
75,0.0,1.0,9.0,1.0,9.0,423.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.2434486116002494,0.12342278391615898,0.4324137625817954,0.05,,,,,,,,,,,,
76,0.0,1.0,4.0,1.0,4.0,427.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.1237562375,0.054791469323191344,0.19701995,0.05,,,,,,,,,,,,
77,0.0,1.0,8.0,1.0,8.0,435.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.2198279677275562,0.11007233160822624,0.38627652786039945,0.05,,,,,,,,,,,,
78,0.0,1.0,13.0,1.0,13.0,448.0,0.1,,,0.0,,,,,,,,,,,,,,,,0.3363774141914733,0.17534929825633458,0.6123948850051599,0.05,,,,,,,,,,,,
