Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
41,0.0,1.0,45.0,1.0,45.0,1020.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.09980403467025832,0.052146814637499095,0.1819072569680644,0.005,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,13.0,1.0,13.0,1033.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,,,,,,,,,,,,,,,,,,,,
43,14.0,0.0,74.0,1.0,74.0,1107.0,0.0,0.3700000000000002,74.0,0.0,,,,,,,,,,,,0.019597721999999998,0.017400822,0.05765006,0.004498246599999999,0.1490450280984123,0.07499742440099848,0.26232997899714633,0.005,0.69309086,9.558595e-05,0.69314694,0.69261944,0.011688435329899922,0.032624422614845015,0.12187724791380634,-0.07934371183920755,0.017200878,0.033334654,0.107463345,-0.023952308999999998,0.0006004862000000001,0.0008063634,0.0030937865000000004,3.9719875000000004e-05,0.008115358,0.019123038000000002,0.048891958,-0.035559405
44,17.0,0.0,13.0,1.0,13.0,1120.0,0.0,0.06499999999999999,13.0,0.0,,,,,,,,,,,,0.04156263,0.004143089,0.04570572,0.037419543,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,0.6921232,0.0009996742,0.69314516,0.6902285,0.04340068389789983,0.029410440341049417,0.07611234454582529,-0.013809616565704341,0.056007117,0.04513419,0.13232644,0.0009479597,0.0013742966,0.00044299644999999996,0.0018172931,0.0009313002,0.029239732999999997,0.009705960999999999,0.038945693999999996,0.019533771999999998
45,26.0,0.0,43.0,1.0,43.0,1163.0,0.0,0.2150000000000001,43.0,0.0,,,,,,,,,,,,0.02493639,0.023126649,0.06730121,0.006953600999999999,0.09606000242409116,0.050301579080564984,0.17544868581579875,0.005,0.6923784000000001,0.0014078296,0.6931421999999999,0.68613577,0.022207017869726682,0.025917045458781075,0.09670010671853922,-0.01968789741396904,0.048693903,0.061731912,0.17851986,-0.01075373,0.0005824224,0.0006634357000000001,0.001858549,6.0331774999999995e-05,0.015312458000000001,0.012545363,0.038119413,0.0006100052999999999
46,30.0,0.0,17.0,1.0,17.0,1180.0,0.0,0.085,17.0,0.0,,,,,,,,,,,,0.010543275,0.0039293520000000005,0.015985185,0.0068481984,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,0.69263744,0.0005300430999999999,0.6931227,0.69119495,0.01520540608953061,0.009036492358824704,0.03590534807302625,0.0019236918259412047,0.006138379,0.006606204,0.021558002000000003,-0.0029730703999999997,0.0001564313,0.00013216406000000002,0.0003427089,5.0007293e-05,0.010558918,0.00499361,0.017548133,0.006188311
47,34.0,0.0,18.0,1.0,18.0,1198.0,0.0,0.09000000000000001,18.0,0.0,,,,,,,,,,,,0.019084003000000002,0.010124819,0.032946717,0.009048327,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,0.69144565,0.001897517,0.69311297,0.68702817,0.020585325006517503,0.020790676975169738,0.0612368020227109,-0.012806649181246757,0.029628787,0.024633719,0.075833015,0.0075469986,0.00042800387000000004,0.00042063452000000006,0.0010228027,0.00012280075000000002,0.013685272,0.010619741,0.028193494,0.0030693202
48,40.0,0.0,31.0,1.0,31.0,1229.0,0.0,0.15500000000000005,31.0,0.0,,,,,,,,,,,,0.011185192,0.0007574347,0.01239614,0.010352866,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,0.6923438000000001,0.00074721343,0.69310397,0.6900109,0.01550052162868339,0.007728154928126826,0.03296375089645202,-0.00020866364240646265,0.015855879,0.005245259,0.025911331,0.006167345,0.00014999525,3.2560314e-05,0.00019600422999999998,9.63148e-05,0.01075034,0.0012837132,0.012242353000000001,0.008597313
49,43.0,0.0,14.0,1.0,14.0,1243.0,0.0,0.06999999999999999,14.0,0.0,,,,,,,,,,,,0.012234778,0.0017358660999999998,0.013970643999999999,0.010498912,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,0.69174176,0.0009591769,0.69310594,0.69006586,0.01535414845480674,0.00920110488457728,0.03455700194601055,-9.363412857055568e-05,0.019171618,0.0043162857,0.024663026,0.009809306,0.0001602051,6.834116e-05,0.00022854627,9.1863934e-05,0.01086694,0.0026938226,0.013560763,0.008173116999999999
50,46.0,0.0,12.0,1.0,12.0,1255.0,0.0,0.05999999999999999,12.0,0.0,,,,,,,,,,,,0.015952565,0.00030718278,0.016259748,0.015645383,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,0.6919536000000001,0.0010541411,0.69310254,0.6899198000000001,0.019888004626439533,0.01022117064778138,0.032814819104222036,-0.0007482607662677755,0.014578833999999999,0.0061679427,0.026977375,0.007936216999999999,0.00025000254,5.9649727e-05,0.00030965227,0.00019035282,0.013591148,0.002623558,0.016214706000000002,0.01096759
51,49.0,0.0,14.0,1.0,14.0,1269.0,0.0,0.06999999999999999,14.0,0.0,,,,,,,,,,,,0.012614795,0.0024334742,0.015048269,0.010181321,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,0.69209856,0.00079554674,0.693082,0.6902678000000001,0.015643251692396973,0.009409756005818457,0.03684703347427224,0.004937008419550958,0.02080963,0.005754619,0.03061894,0.009801295,0.00016662739,9.457518e-05,0.00026120257000000004,7.205221e-05,0.01107556,0.0034820759,0.014557635,0.0075934837
52,59.0,0.0,51.0,1.0,51.0,1320.0,0.0,0.2550000000000001,51.0,0.0,,,,,,,,,,,,0.012422849,0.005125421,0.021063961000000003,0.0037930487,0.11075141804068593,0.05745852664846605,0.2005219967669193,0.005,0.69283646,0.00038144172999999995,0.6931468000000001,0.691189,0.015201464446971187,0.010812232964711557,0.03738600419479415,-0.004116061694175003,0.0235834,0.011208072,0.04547347,0.009789335,0.00017399446,0.0001248464,0.00047458905999999996,2.9961298000000002e-05,0.0105501795,0.0047558453,0.02045531,0.0032411483000000002
53,63.0,0.0,18.0,1.0,18.0,1338.0,0.0,0.09000000000000001,18.0,0.0,,,,,,,,,,,,0.014198768999999998,0.0029083395,0.017813817,0.010692354,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,0.69240594,0.0006558215,0.6930988,0.69112873,0.018141018022173803,0.009817202241889915,0.03917488408796746,0.00772638164460659,0.013198423,0.00543283,0.02461727,0.008200942,0.000212737,0.00013551576,0.00040437907,0.00011558597,0.012501542,0.00422012,0.01846927,0.009456151999999999
54,66.0,0.0,12.0,1.0,12.0,1350.0,0.0,0.05999999999999999,12.0,0.0,,,,,,,,,,,,0.01551857,0.0045955726,0.020114141999999998,0.010922997,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,0.6918683000000001,0.0008092366000000001,0.69311047,0.69057137,0.01561710945903264,0.010694343381069577,0.03566513897642548,0.0012070714682340634,0.020888481,0.0050918846,0.029577639,0.013115946000000002,0.00017913153999999997,0.00013305933999999998,0.00031219088,4.60722e-05,0.010578598,0.0047516865,0.015330285,0.0058269114
55,68.0,0.0,10.0,1.0,10.0,1360.0,0.0,0.05,10.0,0.0,,,,,,,,,,,,0.019998876000000002,0.0,0.019998876000000002,0.019998876000000002,0.02669127129358223,0.013661969731348278,0.04780896249559776,0.005,0.6918601,0.0008763099,0.6931064,0.6903871,0.02249738026900356,0.009357709733979893,0.03270094138293796,0.007987595275044442,0.016998341,0.003585143,0.022205481000000003,0.011445871000000002,0.0002968494,0.0,0.0002968494,0.0002968494,0.015080005,0.0,0.015080005,0.015080005
