Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
90,1020.0,0.0,2064.0,2064.0,30.0,2064.0,0.8989210000000406,30.0,30.0,0.0,,,,0.6854479803607382,0.5145423615611446,1.7499861717224119,0.05035998672246933,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,14.021237,8.860517999999999,38.72893,2.8693478,9.294417,1.2800643,10.98023,6.494073
91,1052.0,0.0,2096.0,2096.0,32.0,2096.0,0.8957530000000419,32.0,32.0,0.0,,,,0.4930497994346003,0.5594537452067023,2.4347288608551025,0.038288138806819916,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,10.234765,5.963576,33.15726,1.9034519,8.576965,0.9898958000000001,9.566861,7.587069500000001
92,1087.0,0.0,2131.0,2131.0,35.0,2131.0,0.8922880000000433,35.0,35.0,1.0,,,,0.3737840932958266,0.3587496711805769,1.817745566368103,0.07079895585775375,0.00025,0.0,0.00025,0.00025,9.517584,3.9699737999999996,19.97675,2.117547,10.410461,0.86152655,11.102552000000001,7.6584395999999995
93,1122.0,0.0,2166.0,2166.0,35.0,2166.0,0.8888230000000447,35.0,35.0,0.0,,,,0.7722399697145995,0.9026380847685632,4.3493614196777335,0.09512698650360107,0.00025,0.0,0.00025,0.00025,17.24054,11.695447,45.023525,2.8646472000000003,10.552586999999999,0.31402403,10.913838,10.106822
94,1142.0,0.0,2186.0,2186.0,20.0,2186.0,0.8868430000000455,20.0,20.0,1.0,,,,0.4540664957542169,0.4254494820921065,1.3337045907974243,0.05064106732606888,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,9.605093,6.816124,29.239521000000003,2.1458235,10.538574,0.85196716,11.702803999999999,9.30002
95,1231.0,0.0,2275.0,2275.0,89.0,2275.0,0.878032000000049,89.0,89.0,0.0,,,,0.7638237794691866,0.7402406069062025,3.5964932441711426,0.07770539075136185,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,14.5302725,8.042682000000001,42.704291999999995,3.5658135000000004,12.233127,1.9489343999999997,15.874767000000002,8.836793
96,1279.0,0.0,2323.0,2323.0,48.0,2323.0,0.8732800000000509,48.0,48.0,1.0,,,,0.4722310353783851,0.6349081756359479,3.39119291305542,0.08762181550264359,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,12.680903,7.573492999999999,47.74726,4.0336823,12.531602000000001,1.1625638999999999,14.521347,10.122736
97,1315.0,0.0,2359.0,2359.0,36.0,2359.0,0.8697160000000523,36.0,36.0,0.0,,,,0.9224689760378428,0.9052616894676412,3.988163709640503,0.12660329043865204,0.00025,0.0,0.00025,0.00025,20.887629999999998,11.296489999999999,48.70025,5.184004,11.28147,4.002,15.079310000000001,4.618499
98,1345.0,0.0,2389.0,2389.0,30.0,2389.0,0.8667460000000535,30.0,30.0,0.0,,,,0.6342102201848194,0.5911459064726601,3.0813570022583012,0.09337662160396576,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,17.513008,10.91664,42.018314000000004,2.7685618,11.475975,2.3636105,14.362832999999998,7.302046000000001
99,1373.0,0.0,2417.0,2417.0,28.0,2417.0,0.8639740000000546,28.0,28.0,1.0,,,,0.40372229119141895,0.4011488603766952,2.17397689819336,0.07028260082006453,0.00025,0.0,0.00025,0.00025,10.631836999999999,5.177596599999999,25.486431,2.3122165,13.311054,1.1903455,14.163756,9.786486
100,1419.0,0.0,2463.0,2463.0,46.0,2463.0,0.8594200000000565,46.0,46.0,0.0,,,,0.5880243322915502,0.7099047525786357,3.8456754684448238,0.06199724972248076,0.00025,0.0,0.00025,0.00025,17.267271,12.646442,45.947983,2.9785874,13.313747,0.7633081,14.136648999999998,11.136909
101,1457.0,0.0,2501.0,2501.0,38.0,2501.0,0.855658000000058,38.0,38.0,0.0,,,,0.4681804323115865,0.5622344409057879,3.401284456253052,0.08227638900279999,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,12.614177,7.009844,30.599937,3.0618672,12.983298,5.019056299999999,15.835464499999999,0.08858478
102,1494.0,0.0,2538.0,2538.0,37.0,2538.0,0.8519950000000595,37.0,37.0,1.0,,,,0.6986017539683316,0.996752661824034,4.0530128479003915,0.08215465396642685,0.00025,0.0,0.00025,0.00025,16.467613,10.3440075,43.120228000000004,4.6023293,15.405597,0.6538913000000001,16.317812,14.033242000000001
103,1522.0,0.0,2566.0,2566.0,28.0,2566.0,0.8492230000000606,28.0,28.0,0.0,,,,0.8120565453061351,0.7104060242765725,3.198241233825684,0.1618034392595291,0.00025,0.0,0.00025,0.00025,26.747460999999998,12.963975999999999,56.105335,6.525991,14.991403,0.9407861999999999,16.421705,13.630645000000001
104,1598.0,0.0,2642.0,2642.0,76.0,2642.0,0.8416990000000636,76.0,76.0,1.0,,,,0.7903871589899063,0.8423531674871599,4.5555076599121085,0.10829789191484453,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,20.077085,12.399712,59.12888,3.8807006,14.578816,2.9827178,17.296566000000002,4.524723000000001
105,1633.0,0.0,2677.0,2677.0,35.0,2677.0,0.838234000000065,35.0,35.0,0.0,,,,1.1563392737332512,1.1299962446889482,5.39035177230835,0.2650224566459656,0.00025,0.0,0.00025,0.00025,32.710304,18.583395,100.46835,8.908695,17.560488,0.2680909,18.09414,17.186817
106,1648.0,0.0,2692.0,2692.0,15.0,2692.0,0.8367490000000656,15.0,15.0,0.0,,,,1.371604466012546,1.2122713615921772,5.097404479980469,0.318045049905777,0.0002500000000000001,1.0842021724855042e-19,0.00025,0.00025,35.990726,16.439589,74.28339,13.097775,,,,
107,1678.0,0.0,2722.0,2722.0,30.0,2722.0,0.8337790000000668,30.0,30.0,0.0,,,,1.000411899953053,1.1327218417923246,4.665221214294434,0.16753657162189484,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,23.440476999999998,12.743375,50.231518,7.738389999999999,17.38676,0.8959936,18.202394,15.306451000000001
108,1691.0,0.0,2735.0,2735.0,13.0,2735.0,0.8324920000000673,13.0,13.0,1.0,,,,1.1324948494633038,1.6547993789065707,5.114113807678223,0.1715407371520996,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,17.961706,9.212266,42.440979999999996,8.030607,10.241276,6.2962155,17.661434,1.5471404
109,1701.0,0.0,2745.0,2745.0,10.0,2745.0,0.8315020000000677,10.0,10.0,0.0,,,,0.926202052169376,0.880802424741903,2.765208005905152,0.1887527108192444,0.00025,0.0,0.00025,0.00025,24.140911,10.385367,48.989487,14.381758,-0.09619576,0.5981593000000001,0.50196356,-0.6943551
