Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
50,1.0,0.0,31.0,1.0,31.0,1098.0,0.0,0.15500000000000005,31.0,0.0,,,,,,,,,,,,,,,,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,0.66288996,0.05030232,0.69314694,0.5075989000000001,,,,,,,,
51,2.0,0.0,32.0,1.0,32.0,1130.0,0.0,0.16000000000000006,32.0,0.0,,,,,,,,,,,,,,,,0.07457895718480484,0.039443078440873545,0.13750983202107314,0.005,0.6879749,0.007528458000000001,0.6931293000000001,0.66639304,,,,,,,,
52,3.0,0.0,10.0,1.0,10.0,1140.0,0.0,0.05,10.0,0.0,,,,,,,,,,,,,,,,0.02669127129358223,0.013661969731348278,0.04780896249559776,0.005,0.6929605999999999,0.0001281314,0.69314396,0.6927506,,,,,,,,
53,4.0,0.0,11.0,1.0,11.0,1151.0,0.0,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,0.66875917,0.024851457999999996,0.6931278000000001,0.613336,,,,,,,,
54,5.0,0.0,20.0,1.0,20.0,1171.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.6929801,0.00034214072999999996,0.69314086,0.69184124,,,,,,,,
55,6.0,0.0,9.0,1.0,9.0,1180.0,0.0,0.045,9.0,0.0,,,,,,,,,,,,,,,,0.024344861160024947,0.0123422783916159,0.04324137625817955,0.005,0.6499843000000001,0.04038866,0.69314617,0.5736939,,,,,,,,
56,7.0,0.0,29.0,1.0,29.0,1209.0,0.0,0.14500000000000005,29.0,0.0,,,,,,,,,,,,,,,,0.06844891963496623,0.036262068467195714,0.1264139528342018,0.005,0.6827914,0.020624615,0.6931421999999999,0.6053399,,,,,,,,
57,8.0,0.0,19.0,1.0,19.0,1228.0,0.0,0.095,19.0,0.0,,,,,,,,,,,,,,,,0.04712351999271282,0.024922228920121338,0.08691568808220664,0.005,0.6719743,0.027595308,0.6931375,0.59440446,,,,,,,,
58,9.0,0.0,15.0,1.0,15.0,1243.0,0.0,0.075,15.0,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,0.6929408,0.00016884411,0.69314647,0.6925291,,,,,,,,
59,10.0,0.0,20.0,1.0,20.0,1263.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.6746639,0.023564069,0.6931172,0.60477245,,,,,,,,
60,11.0,0.0,14.0,1.0,14.0,1277.0,0.0,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,0.6805424,0.008416093000000001,0.69313884,0.66353977,,,,,,,,
61,12.0,0.0,17.0,1.0,17.0,1294.0,0.0,0.085,17.0,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,0.67507887,0.018100113,0.6931411,0.63907504,,,,,,,,
62,13.0,0.0,13.0,1.0,13.0,1307.0,0.0,0.06499999999999999,13.0,0.0,,,,,,,,,,,,,,,,0.033637741419147334,0.017534929825633462,0.06123948850051601,0.005,0.67773783,0.017995212,0.6931469,0.6314523,,,,,,,,
63,14.0,0.0,15.0,1.0,15.0,1322.0,0.0,0.075,15.0,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,0.6927555000000001,0.00045982655,0.6931385999999999,0.6912121999999999,,,,,,,,
