Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
48,1080.0,0.0,11808.0,48.0,50.0,2400.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6800464,0.09773234,-1.4226948999999998,-1.8785577000000002,,,,,-0.010786086404271,0.7652155383134306,1.4119094016139857,-1.3146515308010611
49,1120.0,0.0,12054.0,49.0,50.0,2450.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71505374,0.3785832,-0.2992527,-1.5169563999999998,,,,,-0.2886288027606906,0.8287172418980459,1.2459944996890413,-1.3512528182850567
50,1160.0,0.0,12300.0,50.0,50.0,2500.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4074024,0.15676800000000002,-1.2241746999999998,-1.8026383999999998,,,,,-0.1645136512289547,0.8958028320184709,1.4522536228668717,-1.4683421825049652
51,1200.0,0.0,12546.0,51.0,50.0,2550.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3314449,0.07268575,-1.1998953,-1.5717112,,,,,-0.24562120672417426,0.7902503152977545,1.3115724552784311,-1.4051929148764728
52,1240.0,0.0,12792.0,52.0,50.0,2600.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4724469,0.09832085,-1.3575288,-1.774114,,,,,0.1462882197020768,0.701050146162443,1.2347392546556442,-1.2590769956220695
53,1280.0,0.0,13038.0,53.0,50.0,2650.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4442867,0.12969065,-1.2692051000000002,-1.7747718999999997,,,,,0.20948473993237784,0.7593148478140258,1.5674224141057649,-1.4062895532682556
54,1320.0,0.0,13284.0,54.0,50.0,2700.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1849312999999997,0.044377908,-2.1158669999999997,-2.3240447,,,,,-0.02168273111181633,0.9168803836452776,1.6953598983908271,-1.4752903472361878
55,1360.0,0.0,13530.0,55.0,50.0,2750.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.237279,0.15516229,-2.0214274,-2.5707310000000003,,,,,-0.27124309220740045,0.8439512649019275,1.5120970095867141,-1.5138009099798782
56,1400.0,0.0,13776.0,56.0,50.0,2800.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3314816,0.09005146,-1.1941646000000001,-1.572344,,,,,-0.20342315846275646,0.7972892094769701,1.5803779347546796,-1.5077312702397667
57,1440.0,0.0,14022.0,57.0,50.0,2850.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8789352999999998,0.30102205,-2.0655221999999998,-3.0578754,,,,,0.15966253215358098,0.8141481343954416,1.4582446666548994,-1.3758372733300537
