Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
47,67.0,0.0,24.0,1.0,24.0,1352.0,0.4968247999999986,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06891296,0.012894481000000001,0.09348225,0.05276441,0.00021480826,3.5362074e-05,0.00026610296,0.00017630754000000002
48,72.0,0.0,24.0,1.0,24.0,1376.0,0.4965895999999985,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06593756,0.0075343666,0.08417698,0.04723746,0.00041663367,9.947705e-05,0.0005322529,0.00025807158
49,83.0,0.0,52.0,1.0,52.0,1428.0,0.4960799999999983,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5148012122030814,0.42792094166684,1.0,0.0,,,,,,,,,0.066367954,0.025799528,0.13676763,0.032713532000000003,0.020903755,0.059131946,0.198283,0.00036163873
50,86.0,0.0,12.0,1.0,12.0,1440.0,0.4959623999999983,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.07386828,0.04325008,0.14406407,0.029439842,0.0032999848,0.0005265879400000001,0.0038265728,0.002773397
51,91.0,0.0,24.0,1.0,24.0,1464.0,0.4957271999999982,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.064515375,0.03517153,0.12387836,0.014267594,0.0012488018,0.0005847424,0.0018670396,0.00028639942
52,128.0,0.0,185.0,1.0,185.0,1649.0,0.4939141999999974,4.0,4.0,0.0,,,,,,,,,,,,,,,,1.3319503196322744,0.5677702904995332,2.2729404793477666,0.0,,,,,,,,,0.0997294,0.05640888,0.23048258,9.343440999999999e-05,0.07552683,0.21128049999999998,0.8207700000000001,0.00018400319
53,133.0,0.0,24.0,1.0,24.0,1673.0,0.4936789999999973,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.15186448,0.06548391,0.24773659,0.0635548,0.016884241,0.0007571860000000001,0.018178301,0.016333649
54,144.0,0.0,52.0,1.0,52.0,1725.0,0.493169399999997,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5148012122030814,0.42792094166684,1.0,0.0,,,,,,,,,0.108742625,0.045746762,0.20041387,0.043175757,0.021208731,0.05330683,0.18097393,0.0006404157
55,149.0,0.0,24.0,1.0,24.0,1749.0,0.492934199999997,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.07252499,0.022287072999999998,0.12028539,0.049872432,0.0007338219,0.0003052691,0.0011797493,0.00042900672999999996
56,154.0,0.0,24.0,1.0,24.0,1773.0,0.4926989999999968,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.05565151,0.009113167,0.078193925,0.04441093,0.0004691775,0.00016904595000000002,0.00067433977,0.00023024941
57,159.0,0.0,24.0,1.0,24.0,1797.0,0.4924637999999967,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.049803442999999996,0.0060648443,0.060011942,0.038728774,0.00036282357,0.0001539445,0.00055484095,0.00019187425
