Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
71,151.0,0.0,39.0,1.0,39.0,1790.0,0.4926793999999968,0.1950000000000001,39.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.045483023,0.012993718000000001,0.06868776,0.022209685,0.0005946605000000001,0.00030400217,0.0011458095,0.00015158473
72,168.0,0.0,83.0,1.0,83.0,1873.0,0.4918659999999965,0.41500000000000026,83.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.04750705,0.014184576,0.07538706,-0.0044066470000000005,0.00051440345,0.00046704317,0.001581191,2.2948876e-05
73,177.0,0.0,42.0,1.0,42.0,1915.0,0.4914543999999963,0.2100000000000001,42.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.052352882999999996,0.017004795,0.09473594,0.023712802999999998,0.0005763058,0.00060484913,0.002090153,0.00010553246000000001
74,189.0,0.0,58.0,1.0,58.0,1973.0,0.4908859999999961,0.2900000000000001,58.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.056504253,0.019417636000000002,0.09341076,-0.052897707,0.0010075701,0.0022486686,0.008088426,2.2776376e-05
75,192.0,0.0,15.0,1.0,15.0,1988.0,0.49073899999999604,0.075,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.05186259,0.028118735,0.08802228,0.0025943733999999998,0.0021173551,0.00166098,0.0037783352000000004,0.00045637495
76,196.0,0.0,19.0,1.0,19.0,2007.0,0.4905527999999959,0.095,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.055036705,0.0135747725,0.07762879,0.035115674,0.0009892856,0.00037825995000000004,0.0014315875,0.0005075628
77,199.0,0.0,14.0,1.0,14.0,2021.0,0.4904155999999958,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.06354048,0.007763317,0.072425485,0.046831828,0.0012805475,0.0005065133,0.0017870607999999999,0.0007740342
78,201.0,0.0,9.0,1.0,9.0,2030.0,0.4903273999999958,0.045,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.061850734000000004,0.018655004,0.082053766,0.022944232000000002,0.0009847012,0.0,0.0009847012,0.0009847012
79,205.0,0.0,18.0,1.0,18.0,2048.0,0.4901509999999957,0.09000000000000001,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.046211435999999995,0.022101633,0.07382926,-0.0026634367999999998,0.00030583594,0.0002088647,0.00056477246,5.327988e-05
80,208.0,0.0,15.0,1.0,15.0,2063.0,0.4900039999999957,0.075,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.040895358,0.016746614,0.07244045,0.0056803140000000005,0.0004469651,0.0003097002,0.0007566653,0.00013726491000000003
81,218.0,0.0,47.0,1.0,47.0,2110.0,0.4895433999999954,0.2350000000000001,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.05575985,0.011665415,0.07798799,0.008516341,0.00043305365,0.00023072512999999998,0.00081397424,6.7344234e-05
82,236.0,0.0,87.0,1.0,87.0,2197.0,0.4886907999999951,0.4350000000000003,87.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.06633896,0.012758418999999998,0.087362334,0.03638799,0.00027916318999999997,0.00018957467,0.0007185016300000001,6.681503999999999e-05
83,247.0,0.0,56.0,1.0,56.0,2253.0,0.4881419999999949,0.2800000000000001,56.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.06286445,0.016495915,0.09374299999999999,0.017018143,0.0003015338,0.00021023516,0.0007749174000000001,3.662759e-05
84,256.0,0.0,43.0,1.0,43.0,2296.0,0.4877205999999947,0.2150000000000001,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.07703432,0.013665742,0.10040042,0.04321308,0.0003935753,0.00026542007000000004,0.0008976241,6.480291599999999e-05
85,271.0,0.0,73.0,1.0,73.0,2369.0,0.4870051999999944,0.3650000000000002,73.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.07465105,0.012115792,0.092758335,0.03238168,0.00023199708,0.00012652302,0.00045052494000000004,3.7838631999999995e-05
86,278.0,0.0,35.0,1.0,35.0,2404.0,0.4866621999999942,0.17500000000000007,35.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.06523649,0.0116961105,0.09299748,0.042390365,0.00014796133999999997,4.5113877e-05,0.00022337046000000003,6.8086614e-05
87,292.0,0.0,67.0,1.0,67.0,2471.0,0.4860055999999939,0.3350000000000002,67.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.074710585,0.0125804,0.09631369999999999,0.046650566,0.00017154233000000001,9.520030999999999e-05,0.00040270458,4.193882000000001e-05
88,332.0,0.0,200.0,1.0,200.0,2671.0,0.4840455999999931,1.0000000000000009,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.095417105,0.017315948,0.13826768,0.04989792,0.00027257002999999996,0.00032110044,0.0018132117000000001,2.6189462e-05
89,334.0,0.0,9.0,1.0,9.0,2680.0,0.483957399999993,0.045,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.09980964,0.013104899,0.11907317,0.07806461,6.260344500000001e-05,0.0,6.260344500000001e-05,6.260344500000001e-05
