Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
51,52.0,0.0,75.0,1.0,75.0,2254.0,0.0,-3.200000000000001,-320.0,0.0,,,,,,,,,,,,1.5055286,0.11911845,1.624647,1.3864101,-1.3101649332114074,0.6472737081484847,-0.04,-2.239774040496408,1.22045,0.015004473999999999,1.2524799,1.1752353000000002,-0.5152474490574572,0.2777955688389128,-0.03127832055091856,-1.0361887556783154,-0.40176705,0.018602615,-0.36115205,-0.44210200000000005,0.17132515,0.014821358,0.1861465,0.15650378,-0.62174094,0.008896977,-0.61284393,-0.6306379
52,53.0,0.0,15.0,1.0,15.0,2269.0,0.0,0.33,33.0,0.0,,,,,,,,,,,,,,,,0.6292521187334683,0.2327154455899897,0.99,0.2379921032222017,1.1548737,0.016668294,1.1761767,1.1166856,,,,,,,,,,,,,,,,
53,56.0,0.0,75.0,1.0,75.0,2344.0,0.0,-3.3500000000000014,-335.0,0.0,,,,,,,,,,,,1.9038088,0.23929685,2.1431057,1.664512,-1.3648375000929158,0.6838237584122098,-0.04,-2.3498705807376887,1.1704277,0.01343051,1.1958079,1.1352491000000002,-0.5877590230738268,0.2875328985369282,-0.036899545192718534,-1.0298399375658878,-0.51752865,0.017010218,-0.47894344,-0.5665846999999999,0.21406783,0.02448012,0.23854795,0.18958771,-0.64536405,0.06467119,-0.5806929,-0.71003526
54,59.0,0.0,75.0,1.0,75.0,2419.0,0.0,-3.200000000000002,-320.0,0.0,,,,,,,,,,,,1.5922758999999997,0.013725579,1.6060014999999999,1.5785503,-1.2852727935244737,0.643996981555271,-0.04,-2.258631722077418,1.1551007,0.014727839,1.1835548999999999,1.1159186,-0.493846768902641,0.270424048989314,-0.013247706890106237,-0.9415863938972155,-0.5748191999999999,0.020919435,-0.5333354,-0.63593996,0.15850681,0.007512726,0.16601954,0.15099409,-0.50830483,0.008820713,-0.49948412,-0.51712555
55,62.0,0.0,75.0,1.0,75.0,2494.0,0.0,-3.2500000000000018,-325.0,0.0,,,,,,,,,,,,2.3740457999999998,0.3812217,2.7552676,1.9928241999999998,-1.2868739558531286,0.6598763428051999,-0.04,-2.307923770818336,1.1255254,0.016895982,1.1648757,1.0710298,-0.5049696833773358,0.2757600330715015,-0.016893365383148232,-0.96629640677586,-0.66371596,0.022608235,-0.60173774,-0.7191687,0.16551892,0.016703606,0.18222253,0.14881532,-0.58829117,0.04753861,-0.5407526,-0.6358298000000001
56,63.0,0.0,5.0,1.0,5.0,2499.0,0.0,0.83,83.0,0.0,,,,,,,,,,,,,,,,0.89119301998,0.06951828381099465,0.99,0.7933740898999999,1.0665708999999999,0.01040102,1.0800105,1.0510104,,,,,,,,,,,,,,,,
57,66.0,0.0,75.0,1.0,75.0,2574.0,0.0,-3.200000000000002,-320.0,0.0,,,,,,,,,,,,2.6585398,0.1940912,2.852631,2.4644487,-1.2410840261800609,0.6518619691133607,-0.04,-2.2921080609747007,1.1107764,0.017732482,1.1401367,1.0525149,-0.5003368476741838,0.2778604912558301,-0.006493725776672399,-0.9974727322718494,-0.73691475,0.020419337,-0.68961406,-0.7927741,0.16377172,0.03705304,0.20082475,0.12671867,-0.58885515,0.040540993,-0.54831415,-0.62939614
58,69.0,0.0,75.0,1.0,75.0,2649.0,0.0,-3.4000000000000017,-340.0,0.0,,,,,,,,,,,,2.8346248,0.16711700000000002,3.0017419999999997,2.667508,-1.3628422518727834,0.6826647477957356,-0.04,-2.401887182924658,1.1136816999999999,0.016467387,1.1512813999999998,1.0482850000000001,-0.5580518393501778,0.27927685051960754,-0.04138503313064579,-1.0412171544161897,-0.73974055,0.022198793999999997,-0.6852385999999999,-0.8140199,0.19470865,0.020474449,0.21518310000000002,0.1742342,-0.6428119000000001,0.043695599999999994,-0.59911627,-0.68650746
59,70.0,0.0,7.0,1.0,7.0,2656.0,0.0,0.75,75.0,0.0,,,,,,,,,,,,,,,,0.8427701992017128,0.09733842776448526,0.99,0.6979859455109899,1.0821707,0.011207937,1.0946715,1.0616357,,,,,,,,,,,,,,,,
60,73.0,0.0,75.0,1.0,75.0,2731.0,0.0,-3.3000000000000016,-330.0,0.0,,,,,,,,,,,,2.5609324,0.0076577663,2.5685902,2.5532746,-1.336500534975395,0.6425566753844802,-0.09,-2.3208329280489424,1.0909394,0.015821278,1.1295428,1.0475705,-0.4757119810264634,0.2753321230822549,0.004542074203491175,-0.955565116399726,-0.7614711999999999,0.020282091999999998,-0.7120588000000001,-0.8053720999999999,0.15105474,0.0132396,0.16429435,0.13781515,-0.55244863,0.013531506,-0.5389170999999999,-0.56598014
