Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
54,169.0,0.0,1702.0,1702.0,24.0,1702.0,0.9993327400000144,0.0,0.0,0.0,,,,25.75256071488063,24.55211050414033,50.71176147460938,1.1789536476135254,5e-05,0.0,5e-05,5e-05,10.059493,5.428594599999999,16.440603,4.592257,,,,
55,175.0,0.0,1726.0,1726.0,24.0,1726.0,0.999308980000015,0.0,0.0,0.0,,,,17.354166090488437,22.837012207693117,49.67551803588867,1.175182580947876,5e-05,0.0,5e-05,5e-05,9.99656,6.4221435,20.256317000000003,4.7478123,,,,
56,181.0,0.0,1750.0,1750.0,24.0,1750.0,0.9992852200000156,0.0,0.0,0.0,,,,9.300686438878376,18.097628685868713,49.76817321777344,1.169414758682251,5e-05,0.0,5e-05,5e-05,7.199533,4.7428913,17.737358,4.3754067,,,,
57,187.0,0.0,1774.0,1774.0,24.0,1774.0,0.9992614600000159,0.0,0.0,0.0,,,,9.279008905092876,18.061952874705717,49.66669845581055,1.153038740158081,5e-05,0.0,5e-05,5e-05,8.004887,5.221979,19.51705,4.366083000000001,,,,
58,193.0,0.0,1798.0,1798.0,24.0,1798.0,0.9992377000000164,0.0,0.0,0.0,,,,25.51118697722753,24.348116423613657,50.54841995239258,1.1485519409179688,5e-05,0.0,5e-05,5e-05,11.674525,7.251771000000001,20.993847,4.3002915,,,,
59,220.0,0.0,1908.0,1908.0,110.0,1908.0,0.9991288000000188,2.0,2.0,0.0,,,,12.018962983731868,24.32646171336778,99.37760162353516,1.072891116142273,5e-05,6.776263578034403e-21,5e-05,5e-05,7.871025599999999,6.175368,27.737016999999998,3.0453744,,,,
60,238.0,0.0,1978.0,1978.0,70.0,1978.0,0.9990595000000204,1.0,1.0,0.0,,,,14.620899160703026,27.33390336569094,98.95366668701172,0.9235827922821044,5e-05,0.0,5e-05,5e-05,6.771,9.015542,34.413494,1.6727921000000001,,,,
61,244.0,0.0,2002.0,2002.0,24.0,2002.0,0.9990357400000208,0.0,0.0,0.0,,,,17.196581999460854,22.83231596628473,49.59479522705078,1.001550793647766,5e-05,0.0,5e-05,5e-05,9.194355999999999,8.385297999999999,22.374403,2.8383682,,,,
62,250.0,0.0,2026.0,2026.0,24.0,2026.0,0.9990119800000214,0.0,0.0,0.0,,,,17.299464643001553,22.971385304296465,49.8486213684082,1.0430951118469238,5e-05,0.0,5e-05,5e-05,8.899422999999999,6.356829,18.210066,4.12873,,,,
63,256.0,0.0,2050.0,2050.0,24.0,2050.0,0.9989882200000219,0.0,0.0,0.0,,,,33.231360336144775,22.679999737891237,49.52956008911133,1.1457325220108032,5e-05,0.0,5e-05,5e-05,15.637978,6.4580755,22.125263,6.2146707,,,,
64,262.0,0.0,2074.0,2074.0,24.0,2074.0,0.9989644600000224,0.0,0.0,0.0,,,,9.12229057153066,17.655353997912915,48.60078811645508,1.1663596630096436,5e-05,0.0,5e-05,5e-05,10.931667,4.5170765,20.984257,8.370116000000001,,,,
65,268.0,0.0,2098.0,2098.0,24.0,2098.0,0.998940700000023,0.0,0.0,0.0,,,,9.250850896040598,17.816504241512945,49.08974075317383,1.260934591293335,5e-05,0.0,5e-05,5e-05,11.615337,4.2917760000000005,21.195644,9.520182,,,,
