Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
49,1424.0,0.0,2483.0,2483.0,75.0,2483.0,0.0,-300.0,-300.0,0.0,,,,83.09846962625916,148.3913409231177,643.7589111328125,1.0121252536773682,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,92.053986,67.90547,416.6718,13.192295999999999,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-5.484215,0.9847988999999999,-3.5729582000000004,-7.874117
50,1499.0,0.0,2558.0,2558.0,75.0,2558.0,0.0,-360.0,-360.0,0.0,,,,115.99383043598485,163.61406859445992,623.9412841796875,1.0714349746704102,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,109.17063999999999,74.51924,469.6629,5.304506,-154.5668407584842,70.55433822493815,-9.0,-246.5402721526634,-6.986204600000001,1.5132378,-2.9708986,-11.469522999999999
51,1574.0,0.0,2633.0,2633.0,75.0,2633.0,0.0,-375.0,-375.0,0.0,,,,82.66922101781175,148.4701240265876,672.3357543945312,1.2154073715209959,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,93.96202,79.52863,505.80645999999996,15.022597,-144.39664491201088,76.84801334231649,-4.0,-269.3964811272644,-6.650954,1.2567110000000001,-3.2628887000000004,-10.340833
52,1649.0,0.0,2708.0,2708.0,75.0,2708.0,0.0,-410.0,-410.0,0.0,,,,100.38941182800241,156.09554740534426,658.8350219726562,0.9916620254516602,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,100.38691,69.45109000000001,374.12372,12.463422999999999,-165.03546142871357,81.83285385482434,-9.0,-289.1145494226916,-6.7540545,1.1814921,-4.097995,-9.647803999999999
53,1724.0,0.0,2783.0,2783.0,75.0,2783.0,0.0,-340.0,-340.0,0.0,,,,88.10571763322159,149.20457236067872,646.6434326171875,2.8301029205322266,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,98.864494,68.71415999999999,402.5612,14.440238,-127.95000077899543,69.1357670629791,-4.0,-246.50252466237708,-6.3677273,1.4222796,-2.9580321,-9.304342
54,1799.0,0.0,2858.0,2858.0,75.0,2858.0,0.0,-300.0,-300.0,0.0,,,,59.48208103953181,119.11728174918362,340.4049987792969,1.7622578144073486,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,75.6041,62.686855,270.18515,10.525554,-120.46974675722326,60.53420221252621,-4.0,-211.76534336573985,-5.701202400000001,0.903158,-3.7524129999999998,-7.958384
55,1851.0,0.0,2910.0,2910.0,52.0,2910.0,0.0,-176.0,-176.0,0.0,,,,104.01691484451294,181.45626068069782,639.14013671875,1.507805585861206,0.00025,0.0,0.00025,0.00025,97.86964,92.63786999999999,432.0862,15.782994,-39.13376412226872,75.26070012209976,98.0,-157.2226693499194,-7.6069584,1.4306584999999998,-4.191269999999999,-10.693342999999999
56,1926.0,0.0,2985.0,2985.0,75.0,2985.0,0.0,-350.0,-350.0,0.0,,,,68.51660588464222,136.25798660206615,643.9778442382812,1.7877200841903689,0.0002500000000000001,5.421010862427521e-20,0.00025,0.00025,88.67961,66.2397,425.81552,13.958132999999998,-132.65495359934928,70.27126764924084,-4.0,-253.03917656614945,-6.0619864,2.0219653,-1.2438787,-10.933117
57,1951.0,0.0,3010.0,3010.0,25.0,3010.0,0.0,3.0,3.0,0.0,,,,70.77173257370791,129.47236545508392,333.9682312011719,1.4611662626266482,0.00025,0.0,0.00025,0.00025,86.74878000000001,64.82117,250.73937999999998,8.768747,43.468566639303035,32.122892230719685,99.0,-7.9466077371977235,-5.1868563,1.2955678999999998,-1.5507805000000001,-7.068608
58,1956.0,0.0,3015.0,3015.0,5.0,3015.0,0.0,76.0,76.0,1.0,,,,5.952299773693085,3.5923568775740007,11.275697708129885,2.5093986988067627,0.00025,0.0,0.00025,0.00025,72.61168,48.098009999999995,136.19146999999998,19.708933,85.16890399399999,9.111137050102801,97.0,72.46621696999998,-5.213693,1.0948558000000002,-3.5875120000000003,-7.06693
