Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min
37,487.0,0.0,1546.0,37.0,75.0,1546.0,0.4756000000000027,-335.0,-335.0,0.0,,,,2244.6380054370775,514.0427261113334,3535.9521484375,1206.9058837890625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,11835.04,7390.427,32598.531000000003,1376.9506,-136.24716014520396,66.56031179675337,-9.0,-235.16629281928974
38,562.0,0.0,1621.0,38.0,75.0,1621.0,0.4718500000000031,-335.0,-335.0,0.0,,,,2178.965211610536,470.399723753996,3531.6923828125,1042.59228515625,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,9515.899,5232.1406,25938.992000000002,1765.0426,-131.12409483266615,66.27773469354189,-4.0,-239.04740290454566
39,574.0,0.0,1633.0,39.0,12.0,1633.0,0.4712500000000032,38.0,38.0,0.0,,,,2311.3049649325285,368.56532222236353,3000.231201171875,1686.3323974609375,0.0001,0.0,0.0001,0.0001,13138.81,8415.136999999999,26988.42,2451.8777,64.08129370001625,21.117436028229967,97.0,30.61640884444245
40,610.0,0.0,1669.0,40.0,36.0,1669.0,0.4694500000000034,-83.0,-83.0,0.0,,,,2103.045277622768,461.7752234681376,3330.5322265625,1286.439697265625,0.0001,1.3552527156068802e-20,0.0001,0.0001,10203.131,6001.2993,23499.785,1779.6044,3.790532893139351,53.94964848325991,97.0,-85.21675943588905
41,648.0,0.0,1707.0,41.0,38.0,1707.0,0.4675500000000036,-59.0,-59.0,0.0,,,,2281.3411139410896,425.19871795175453,2947.18603515625,1258.2149658203125,9.999999999999998e-05,2.7105054312137605e-20,0.0001,0.0001,10817.508999999998,6429.432,29600.702999999998,2015.5201,12.718786367384341,47.43597898666979,99.0,-64.477917999602
42,723.0,0.0,1782.0,42.0,75.0,1782.0,0.46380000000000393,-350.0,-350.0,0.0,,,,2288.556873218433,505.4506053495516,3744.529296875,1232.682373046875,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,8074.866999999999,5472.562,26050.656000000003,1263.9263,-138.49563210508998,71.92712015628571,-4.0,-248.61442012240641
43,798.0,0.0,1857.0,43.0,75.0,1857.0,0.4600500000000044,-340.0,-340.0,0.0,,,,2234.628704998944,479.6404417199323,3350.944580078125,1031.798583984375,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,8242.115,5026.1826,22139.904,1460.0426,-134.4033049277038,70.13230773997664,-4.0,-241.6136578830526
44,807.0,0.0,1866.0,44.0,9.0,1866.0,0.4596000000000045,60.0,60.0,0.0,,,,2146.948974609375,571.8462462943861,2808.660400390625,1349.7919921875,0.0001,0.0,0.0001,0.0001,11020.822,3324.761,14461.184,4445.7544,74.32587497372748,14.317680738086779,97.0,53.849162881176284
45,882.0,0.0,1941.0,45.0,75.0,1941.0,0.4558500000000049,-350.0,-350.0,0.0,,,,2211.698519320101,468.9344770992871,3372.217041015625,1338.3028564453125,0.00010000000000000003,2.7105054312137605e-20,0.0001,0.0001,9149.697,5446.9272,27112.959,1624.4663,-139.05741253412526,71.36167078070937,-4.0,-248.1888288882888
46,895.0,0.0,1954.0,46.0,13.0,1954.0,0.4552000000000049,41.0,41.0,0.0,,,,2109.744140625,324.3340498388984,2619.18359375,1470.2625732421875,0.0001,0.0,0.0001,0.0001,10110.765,4153.909000000001,19994.328,2862.9377,64.55381929183214,21.555492707046035,99.0,32.93737726470889
