Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
35,0.0,1.0,19.0,1.0,19.0,732.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.19313964886904134,0.17463934860123645,0.5227471408274542,-0.0021392910148284967,,,,,,,,,,,,,,,,,,,,
36,0.0,1.0,18.0,1.0,18.0,750.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3530218584036669,0.2080396964420637,0.6968781847577575,0.0322860881138015,,,,,,,,,,,,,,,,,,,,
37,0.0,1.0,14.0,1.0,14.0,764.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2806813314927357,0.1659455394260049,0.5579692267789135,0.02725255353221336,,,,,,,,,,,,,,,,,,,,
38,0.0,1.0,24.0,1.0,24.0,788.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.6897026769697802,0.32500845451025606,1.1538858810174606,0.06809769361191231,,,,,,,,,,,,,,,,,,,,
39,0.0,1.0,13.0,1.0,13.0,801.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2438685663492328,0.15122413321965367,0.4957489747906946,0.021155161998548208,,,,,,,,,,,,,,,,,,,,
40,0.0,1.0,28.0,1.0,28.0,829.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.3463667051523808,0.2631038827149538,0.8383605583167129,0.004346686317711486,,,,,,,,,,,,,,,,,,,,
41,0.0,1.0,20.0,1.0,20.0,849.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.34938490940442823,0.20537361459620984,0.6858331316924068,0.026209427336113363,,,,,,,,,,,,,,,,,,,,
42,0.0,1.0,37.0,1.0,37.0,886.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.20778474688573875,0.1917646893230952,0.6532561081702541,0.002456769746890273,,,,,,,,,,,,,,,,,,,,
43,0.0,1.0,15.0,1.0,15.0,901.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.13266644946405595,0.1452820102021151,0.4119977456566617,-0.016460912741045018,,,,,,,,,,,,,,,,,,,,
44,0.0,1.0,12.0,1.0,12.0,913.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.2676217789345696,0.14802401206038535,0.5146987996774298,0.0408913766182237,,,,,,,,,,,,,,,,,,,,
45,0.0,1.0,27.0,1.0,27.0,940.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4494965142681995,0.25196703857242103,0.8959913120593874,0.029767812345795782,,,,,,,,,,,,,,,,,,,,
46,0.0,1.0,11.0,1.0,11.0,951.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.16984554649724173,0.11346753508130157,0.3683475830116554,0.015279384873276082,,,,,,,,,,,,,,,,,,,,
47,0.0,1.0,20.0,1.0,20.0,971.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.40960453119283297,0.22674397986664235,0.7881799421996151,0.04048120058700943,,,,,,,,,,,,,,,,,,,,
48,0.0,1.0,13.0,1.0,13.0,984.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.21363688888295165,0.14237411415448087,0.4613515359326498,0.017339652434842253,,,,,,,,,,,,,,,,,,,,
49,0.0,1.0,26.0,1.0,26.0,1010.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.4742473830554941,0.28473221333991783,0.9572780969332844,0.025000945061403303,,,,,,,,,,,,,,,,,,,,
50,0.0,1.0,15.0,1.0,15.0,1025.0,0.10000000000000002,,,0.0,,,,,,,,,,,,,,,,0.32054820427438563,0.16158847000468285,0.5932993869374333,0.04383405396785589,,,,,,,,,,,,,,,,,,,,
51,0.0,0.0,14.0,1.0,14.0,1039.0,0.10000000000000002,0.6066598837828895,12.133197675657792,0.0,,,,,,,,,,,,,,,,0.3049164471905092,0.15338601001398255,0.5696682638143618,0.05407820609833261,,,,,,,,,,,,,,,,,,,,
52,1.0,0.0,21.0,1.0,21.0,1060.0,0.10000000000000002,0.8887093652782979,17.77418730556596,0.0,,,,,,,,,,,,,,,,0.4090066896305454,0.22966604888805736,0.8109272327837205,0.03818892842219143,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,21.0,1.0,21.0,1081.0,0.10000000000000002,0.7141221325857728,14.282442651715455,0.0,,,,,,,,,,,,,,,,0.29336132874601745,0.19004357869713911,0.6591073268172819,0.03067481090600505,,,,,,,,,,,,,,,,,,,,
54,3.0,0.0,48.0,1.0,48.0,1129.0,0.10000000000000002,1.7035249165865471,34.07049833173093,0.0,,,,,,,,,,,,,,,,0.6703888170955596,0.4044414454956934,1.3956952367481592,0.02529303932062613,,,,,,,,,,,,,,,,,,,,
55,4.0,0.0,17.0,1.0,17.0,1146.0,0.10000000000000002,0.5984895445763301,11.969790891526596,0.0,,,,,,,,,,,,,,,,0.2625607772567539,0.16414125378273356,0.5594486994370522,0.027073122983166237,,,,,,,,,,,,,,,,,,,,
56,5.0,0.0,23.0,1.0,23.0,1169.0,0.10000000000000002,0.9958099028939514,19.91619805787903,0.0,,,,,,,,,,,,,,,,0.4597143502846879,0.2609632132851571,0.8990662649782558,0.03162217151016897,,,,,,,,,,,,,,,,,,,,
57,6.0,0.0,25.0,1.0,25.0,1194.0,0.10000000000000002,1.6074211292249465,32.148422584498924,0.0,,,,,,,,,,,,,,,,0.8946788981515816,0.37912769974945576,1.3977286916030809,0.0971163730575478,,,,,,,,,,,,,,,,,,,,
58,7.0,0.0,10.0,1.0,10.0,1204.0,0.10000000000000002,0.4504536941742071,9.00907388348414,0.0,,,,,,,,,,,,,,,,0.2487371183262577,0.11895227753597755,0.4298787700420013,0.04860224476293696,,,,,,,,,,,,,,,,,,,,
59,8.0,0.0,19.0,1.0,19.0,1223.0,0.10000000000000002,0.829959493840705,16.5991898768141,0.0,,,,,,,,,,,,,,,,0.3985081593058751,0.21913827695217986,0.7618615591642309,0.039090232761699234,,,,,,,,,,,,,,,,,,,,
60,9.0,0.0,10.0,1.0,10.0,1233.0,0.10000000000000002,0.3911352034422254,7.822704068844508,0.0,,,,,,,,,,,,,,,,0.19207942390370075,0.10907040536306503,0.37568410207258096,0.029085057598742026,,,,,,,,,,,,,,,,,,,,
